Time, fixType, gnssFixOk, headVehValid, invalid_llh, latitude, longitude, SIV, groundSpeed, headingMotion, headingVehicle, distanceBetween, targetHeading, currentHeading, headingError, gpsError, averageGPSError, index,Lat,Lon
4/13/2025 14:39,3,1,0,0,334925879,-820059948,31,574,28314236,0,18.59,281.84,284.83,-0.02,1.69,-8.21,4,33.4925879,-82.0059948
4/13/2025 14:39,3,1,0,0,334925891,-820060008,31,593,28383632,0,18.02,281.79,284.83,-0.02,1,-8.21,4,33.4925891,-82.0060008
4/13/2025 14:39,3,1,0,0,334925903,-820060069,31,596,28338658,0,17.44,281.74,284.83,-0.02,1.45,-8.21,4,33.4925903,-82.0060069
4/13/2025 14:39,3,1,0,0,334925915,-820060132,31,595,28402410,0,16.84,281.7,284.83,-0.02,0.81,-8.21,4,33.4925915,-82.0060132
4/13/2025 14:39,3,1,0,0,334925928,-820060194,31,598,28404304,0,16.25,281.61,284.83,-0.02,0.79,-8.21,4,33.4925928,-82.0060194
4/13/2025 14:39,3,1,0,0,334925941,-820060258,31,602,28439140,0,15.64,281.53,284.83,-0.02,0.44,-8.21,4,33.4925941,-82.0060258
4/13/2025 14:39,3,1,0,0,334925954,-820060321,31,596,28464942,0,15.04,281.43,281.99,0,-2.66,-5.36,4,33.4925954,-82.0060321
4/13/2025 14:39,3,1,0,0,334925968,-820060384,31,609,28490974,0,14.43,281.29,281.99,0,-2.92,-5.36,4,33.4925968,-82.0060384
4/13/2025 14:39,3,1,0,0,334925982,-820060446,31,609,28447796,0,13.84,281.12,281.99,0,-2.49,-5.36,4,33.4925982,-82.0060446
4/13/2025 14:39,3,1,0,0,334925995,-820060509,31,614,28437750,0,13.24,280.99,281.99,-0.01,-2.39,-5.36,4,33.4925995,-82.0060509
4/13/2025 14:39,3,1,0,0,334926009,-820060571,31,611,28485242,0,12.64,280.8,281.99,-0.01,-2.86,-5.36,4,33.4926009,-82.0060571
4/13/2025 14:39,3,1,0,0,334926023,-820060634,31,610,28443336,0,12.04,280.59,281.99,-0.01,-2.44,-5.36,4,33.4926023,-82.0060634
