Latitude,Longitude,SIV,heading,speed,distanceBetween,targetHeading,currentHeading,headingError,gpsError,averageGPSError,lat,long,index
335441570,-820340738,31,14239936,1129,180.01,143.43,140.74,0.01,-1.66,-21.52,33.544157,-82.0340738,0
335441489,-820340664,31,14217786,1132,178.88,143.44,141.1,0.01,-1.08,-21.52,33.5441489,-82.0340664,0
335441407,-820340589,31,14266660,1160,177.73,143.44,140.95,0.01,-1.72,-21.52,33.5441407,-82.0340589,0
335441325,-820340511,31,14107816,1168,176.57,143.46,140.34,0.02,-0.74,-21.52,33.5441325,-82.0340511,0
335441243,-820340431,31,14063748,1176,175.4,143.47,139.51,0.02,-1.13,-21.52,33.5441243,-82.0340431,0
335441169,-820340357,31,13974690,1034,174.33,143.49,143.72,0,3.97,-23.17,33.5441169,-82.0340357,0
335441097,-820340286,31,14088002,1034,173.29,143.51,144.76,-0.01,3.88,-23.17,33.5441097,-82.0340286,0
335441020,-820340209,31,13988698,1150,172.18,143.53,146.24,-0.02,6.35,-23.17,33.544102,-82.0340209,0
335440936,-820340130,31,14236010,1198,170.99,143.54,148,-0.02,5.64,-23.17,33.5440936,-82.034013,0
335440856,-820340055,31,14142126,1102,169.86,143.55,145.63,-0.01,4.21,-23.17,33.5440856,-82.0340055,0
335440775,-820339977,31,14068810,1178,168.71,143.57,145.87,-0.01,5.18,-23.17,33.5440775,-82.0339977,0
335440691,-820339896,31,14085106,1215,167.51,143.59,146.97,-0.02,6.12,-23.17,33.5440691,-82.0339896,0
335440604,-820339815,31,14249964,1228,166.29,143.6,148.2,-0.03,5.7,-23.17,33.5440604,-82.0339815,0
335440527,-820339745,31,14248588,1016,165.21,143.6,145.98,-0.01,3.49,-23.17,33.5440527,-82.0339745,0
335440449,-820339671,31,14112604,1150,164.11,143.62,146.77,-0.02,5.64,-23.17,33.5440449,-82.0339671,0
335440364,-820339592,31,14212042,1205,162.91,143.63,147.3,-0.02,5.18,-23.17,33.5440364,-82.0339592,0
335440286,-820339520,31,14184060,1063,161.82,143.63,141.27,0.01,-0.57,-18.14,33.5440286,-82.033952,0
335440210,-820339447,31,14068460,1084,160.73,143.65,141.29,0.01,0.6,-18.14,33.544021,-82.0339447,0
335440128,-820339369,31,14088238,1207,159.57,143.66,142.46,0.01,1.57,-18.14,33.5440128,-82.0339369,0
335440044,-820339287,31,14065890,1207,158.37,143.69,143.15,0,2.49,-18.14,33.5440044,-82.0339287,0
335439958,-820339207,31,14190790,1216,157.16,143.7,143.08,0,1.17,-18.14,33.5439958,-82.0339207,0
335439873,-820339125,31,14120242,1219,155.95,143.72,143.82,0,2.61,-18.14,33.5439873,-82.0339125,0
